OID_,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,join,GEO_ID,NAME_1,H1_001N,sqmile,Shape_Length,Shape_Area,housing_density
1,17,35411,2398519,1735411,Hoffman Estates,Hoffman Estates village,47,C1,Y,N,G4110,A,54558610,466419,42.0652173,-88.1529963,1735411,1735411,"Hoffman Estates village, Illinois",19160,21.2442646,357593.4559,592256095.4,902
2,17,82049,2399701,1782049,Willow Springs,Willow Springs village,47,C1,N,N,G4110,A,10761873,269951,41.7341373,-87.8840097,1782049,1782049,"Willow Springs village, Illinois",2545,4.2593255,125764.2513,118743180.8,598
3,17,42028,2398395,1742028,Lansing,Lansing village,47,C1,N,N,G4110,A,19327056,148891,41.5650043,-87.5460037,1742028,1742028,"Lansing village, Illinois",12053,7.5200958,152236.6339,209648245,1603
4,17,48554,2399321,1748554,Merrionette Park,Merrionette Park village,47,C1,N,N,G4110,A,971530,0,41.6811167,-87.7012118,1748554,1748554,"Merrionette Park village, Illinois",992,0.3751152,15979.17664,10457611.55,2645
5,17,53000,2399498,1753000,Niles,Niles village,47,C1,N,N,G4110,A,15146477,0,42.0278623,-87.8099725,1753000,1753000,"Niles village, Illinois",12590,5.8480434,138538.8674,163034094.6,2153
6,17,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N,G4110,A,34290367,169102,42.1287453,-87.8351622,1753481,1753481,"Northbrook village, Illinois",14209,13.3047085,195497.3026,370913987.7,1068
7,17,54144,2399521,1754144,North Riverside,North Riverside village,47,C1,N,N,G4110,A,4256894,0,41.8461419,-87.8262826,1754144,1754144,"North Riverside village, Illinois",3012,1.6435797,44682.03186,45820371.61,1833
8,17,54638,2395281,1754638,Oak Forest,Oak Forest city,25,C1,N,N,G4110,A,15595323,123156,41.6066802,-87.7532989,1754638,1754638,"Oak Forest city, Illinois",10750,6.068965,153355.575,169193035.1,1771
9,17,57225,2399608,1757225,Palatine,Palatine village,47,C1,N,N,G4110,A,35218832,420549,42.1181417,-88.0428531,1757225,1757225,"Palatine village, Illinois",29058,13.7599001,167208.7212,383603995,2112
10,17,23724,2398817,1723724,Elmwood Park,Elmwood Park village,47,C1,N,N,G4110,A,4942717,0,41.9224582,-87.8163209,1723724,1723724,"Elmwood Park village, Illinois",10068,1.9083755,31991.53048,53202454.36,5276
11,17,24582,2394709,1724582,Evanston,Evanston city,25,C5,Y,N,G4110,A,20148775,57390,42.0463909,-87.6943525,1724582,1724582,"Evanston city, Illinois",34462,7.8017578,76064.10461,217500525,4417
12,17,24634,2398846,1724634,Evergreen Park,Evergreen Park village,47,C1,N,N,G4110,A,8191089,0,41.7212749,-87.7013342,1724634,1724634,"Evergreen Park village, Illinois",7585,3.1626339,42925.21423,88169172.4,2398
13,17,26571,2398889,1726571,Flossmoor,Flossmoor village,47,C1,N,N,G4110,A,9482658,0,41.5391192,-87.685686,1726571,1726571,"Flossmoor village, Illinois",3702,3.6613369,88212.61207,102072216.3,1011
14,17,26710,2398892,1726710,Ford Heights,Ford Heights village,47,C1,N,N,G4110,A,5041020,0,41.510898,-87.5814316,1726710,1726710,"Ford Heights village, Illinois",692,1.9464325,52495.04166,54263421.58,356
15,17,26935,2398896,1726935,Forest Park,Forest Park village,47,C1,N,N,G4110,A,6220335,0,41.8683695,-87.815663,1726935,1726935,"Forest Park village, Illinois",8169,2.401664,49398.87317,66954552.65,3401
16,17,26987,2398897,1726987,Forest View,Forest View village,47,C1,N,N,G4110,A,3026049,330154,41.8090968,-87.7730786,1726987,1726987,"Forest View village, Illinois",288,1.2958343,53322.78719,36125788.46,222
17,17,27702,2398919,1727702,Franklin Park,Franklin Park village,47,C1,N,N,G4110,A,12360418,0,41.9359934,-87.8791921,1727702,1727702,"Franklin Park village, Illinois",6604,4.7722912,126798.4415,133043847.7,1384
18,17,29652,2398973,1729652,Glencoe,Glencoe village,47,C1,N,N,G4110,A,9629200,158099,42.1344886,-87.7631783,1729652,1729652,"Glencoe village, Illinois",3176,3.7788951,56302.0996,105349552.8,840
19,17,30029,2398979,1730029,Glenwood,Glenwood village,47,C1,N,N,G4110,A,8454308,0,41.5410171,-87.6117588,1730029,1730029,"Glenwood village, Illinois",3480,3.2643411,106853.2669,91004605.55,1066
20,17,33383,2394317,1733383,Harvey,Harvey city,25,C1,N,N,G4110,A,16073930,0,41.6075825,-87.6519895,1733383,1733383,"Harvey city, Illinois",8531,6.2063336,89164.25623,173022653.7,1375
21,17,33435,2398264,1733435,Harwood Heights,Harwood Heights village,47,C1,N,N,G4110,A,2136262,0,41.9663183,-87.8055904,1733435,1733435,"Harwood Heights village, Illinois",3790,0.8248097,44445.95841,22994374.19,4595
22,17,33695,2398479,1733695,Hazel Crest,Hazel Crest village,47,C1,N,N,G4110,A,8799445,54790,41.5741645,-87.6892945,1733695,1733695,"Hazel Crest village, Illinois",5307,3.4186916,80868.64761,95307652.85,1552
23,17,34514,2394371,1734514,Hickory Hills,Hickory Hills city,25,C1,N,N,G4110,A,7367132,0,41.724778,-87.828005,1734514,1734514,"Hickory Hills city, Illinois",5543,2.844434,52732.69243,79298271.59,1949
24,17,35086,2398510,1735086,Hillside,Hillside village,47,C1,N,N,G4110,A,8204242,0,41.8675244,-87.9018393,1735086,1735086,"Hillside village, Illinois",3151,3.1676047,59423.60134,88307751.57,995
25,17,35385,2398517,1735385,Hodgkins,Hodgkins village,47,C1,N,N,G4110,A,7024567,139993,41.7660665,-87.8619439,1735385,1735385,"Hodgkins village, Illinois",642,2.7662053,62346.53965,77117376.42,232
26,17,35866,2394413,1735866,Hometown,Hometown city,25,C1,N,N,G4110,A,1240338,0,41.7312484,-87.7311338,1735866,1735866,"Hometown city, Illinois",1945,0.4789005,15840.58237,13350979.37,4061
27,17,35879,2398537,1735879,Homewood,Homewood village,47,C1,N,N,G4110,A,13509051,122555,41.5594219,-87.6620247,1735879,1735879,"Homewood village, Illinois",8003,5.2633176,75945.91757,146732878.2,1521
28,17,17523,2398650,1717523,Crete,Crete village,47,C1,N,N,G4110,A,24368651,44678,41.440524,-87.6244715,1717523,1717523,"Crete village, Illinois",3384,9.4263468,237143.0481,262791460,359
29,17,27624,2398915,1727624,Frankfort,Frankfort village,47,C1,N,N,G4110,A,40891575,0,41.5070248,-87.8709663,1727624,1727624,"Frankfort village, Illinois",6902,15.788147,421677.9935,440148274.1,437
30,17,42795,2398417,1742795,Lemont,Lemont village,47,C1,N,N,G4110,A,21550443,971379,41.6673276,-87.9844107,1742795,1742795,"Lemont village, Illinois",6773,8.6954355,385299.5747,242414832,779
31,17,75484,2399987,1775484,Tinley Park,Tinley Park village,47,C1,N,N,G4110,A,41689270,30829,41.5685794,-87.8042169,1775484,1775484,"Tinley Park village, Illinois",22751,16.1081161,245618.8128,449068486.2,1412
32,17,76935,2400029,1776935,University Park,University Park village,47,C1,N,N,G4110,A,27782191,5723,41.4468945,-87.712969,1776935,1776935,"University Park village, Illinois",2756,10.7290993,187000.3271,299110116.7,257
33,17,83245,2399735,1783245,Woodridge,Woodridge village,47,C1,N,N,G4110,A,24981344,414421,41.7373922,-88.0441298,1783245,1783245,"Woodridge village, Illinois",14068,9.8049765,280439.8663,273347043.4,1435
34,17,35835,2398535,1735835,Homer Glen,Homer Glen village,47,C1,N,N,G4110,A,57304287,102627,41.605179,-87.9523726,1735835,1735835,"Homer Glen village, Illinois",8716,22.1642933,252822.2492,617905026.8,393
35,17,56627,2399585,1756627,Orland Hills,Orland Hills village,47,C1,N,N,G4110,A,2964766,19721,41.5906544,-87.842141,1756627,1756627,"Orland Hills village, Illinois",2477,1.1523036,39183.20189,32124379.49,2150
36,17,62016,2396288,1762016,Prospect Heights,Prospect Heights city,25,C1,N,N,G4110,A,11024277,78992,42.1031853,-87.9248383,1762016,1762016,"Prospect Heights city, Illinois",6657,4.2868834,117309.0245,119511455,1553
37,17,2154,2397986,1702154,Arlington Heights,Arlington Heights village,47,C1,N,N,G4110,A,43007561,79089,42.0973621,-87.9816706,1702154,1702154,"Arlington Heights village, Illinois",33356,16.635294,205609.3656,463765367.2,2005
38,17,3883,2398038,1703883,Barrington Hills,Barrington Hills village,47,C1,N,N,G4110,A,69941306,1597843,42.1386415,-88.2029588,1703883,1703883,"Barrington Hills village, Illinois",1651,27.6200123,290003.6444,770001759.4,60
39,17,4013,2398041,1704013,Bartlett,Bartlett village,47,C1,N,N,G4110,A,40729614,502693,41.9606372,-88.1777472,1704013,1704013,"Bartlett village, Illinois",14522,15.9190702,363143.1987,443798220.8,912
40,17,5248,2398095,1705248,Bensenville,Bensenville village,47,C1,N,N,G4110,A,14323488,131485,41.9580113,-87.9438254,1705248,1705248,"Bensenville village, Illinois",6864,5.5809336,105641.2248,155587503.3,1230
41,17,10513,2397534,1710513,Calumet Park,Calumet Park village,47,C1,N,N,G4110,A,2893479,92477,41.6657352,-87.6576504,1710513,1710513,"Calumet Park village, Illinois",3074,1.1529095,36879.39906,32141271.14,2666
42,17,14026,2393512,1714026,Chicago Heights,Chicago Heights city,25,C1,N,N,G4110,A,26631724,33941,41.5106847,-87.6346721,1714026,1714026,"Chicago Heights city, Illinois",10663,10.2959738,166106.0963,287035264.2,1036
43,17,65338,2396420,1765338,Rolling Meadows,Rolling Meadows city,25,C1,N,N,G4110,A,14544924,16606,42.0749095,-88.0253634,1765338,1765338,"Rolling Meadows city, Illinois",9780,5.6220222,116108.9751,156732981.8,1740
44,17,68003,2399769,1768003,Schaumburg,Schaumburg village,47,C1,Y,N,G4110,A,49969409,288499,42.0288995,-88.0837735,1768003,1768003,"Schaumburg village, Illinois",33459,19.4038467,251204.2058,540948215.9,1724
45,17,72676,2399900,1772676,Stickney,Stickney village,47,C1,N,N,G4110,A,4983928,94151,41.8170254,-87.7737005,1772676,1772676,"Stickney village, Illinois",2523,1.9606577,44957.74311,54660001.2,1287
46,17,72923,2399908,1772923,Stone Park,Stone Park village,47,C1,N,N,G4110,A,889897,0,41.9032359,-87.8807011,1772923,1772923,"Stone Park village, Illinois",1382,0.3435845,16290.55924,9578585.344,4022
47,17,73157,2399920,1773157,Streamwood,Streamwood village,47,C1,N,N,G4110,A,20197373,86802,42.0205861,-88.1777706,1773157,1773157,"Streamwood village, Illinois",13797,7.8313727,124641.2138,218326135.6,1762
48,17,18992,2398705,1718992,Deerfield,Deerfield village,47,C1,N,N,G4110,A,14317853,56946,42.1660688,-87.8524665,1718992,1718992,"Deerfield village, Illinois",7436,5.5500584,85748.52523,154726747.1,1340
49,17,19083,2398704,1719083,Deer Park,Deer Park village,47,C1,N,N,G4110,A,9464661,260406,42.1662835,-88.0861798,1719083,1719083,"Deer Park village, Illinois",1451,3.7547045,118336.4701,104675152.2,386
50,17,19642,2394524,1719642,Des Plaines,Des Plaines city,25,C1,Y,N,G4110,A,36876383,378798,42.034398,-87.9011363,1719642,1719642,"Des Plaines city, Illinois",25094,14.3839865,177564.9884,401002520.3,1745
51,17,21696,2398774,1721696,East Dundee,East Dundee village,47,C1,N,N,G4110,A,7352852,625397,42.097437,-88.2480785,1721696,1721696,"East Dundee village, Illinois",1502,3.0802555,100590.5791,85872595.35,488
52,17,23256,2398803,1723256,Elk Grove Village,Elk Grove Village village,47,C1,N,N,G4110,A,30145517,148517,42.0049703,-87.9919832,1723256,1723256,"Elk Grove Village village, Illinois",13945,11.6961946,186186.4339,326071205.3,1192
53,17,29938,2398977,1729938,Glenview,Glenview village,47,C1,N,N,G4110,A,36262907,109657,42.0851622,-87.827388,1729938,1729938,"Glenview village, Illinois",18933,14.0433836,235910.7745,391507059.8,1348
54,17,30328,2398174,1730328,Golf,Golf village,47,C1,N,N,G4110,A,1161331,0,42.0585491,-87.7849406,1730328,1730328,"Golf village, Illinois",168,0.4483915,17509.41311,12500436.45,375
55,17,32746,2398244,1732746,Hanover Park,Hanover Park village,47,C1,N,N,G4110,A,16632988,266698,41.9824853,-88.1428698,1732746,1732746,"Hanover Park village, Illinois",11732,6.5246906,125105.6689,181897933.3,1798
56,17,35307,2398514,1735307,Hinsdale,Hinsdale village,47,C1,N,N,G4110,A,11973851,99296,41.8006825,-87.9281725,1735307,1735307,"Hinsdale village, Illinois",6124,4.6613441,84389.23391,129950817.5,1314
57,17,80242,2400150,1780242,Western Springs,Western Springs village,47,C1,N,N,G4110,A,7211828,0,41.8022777,-87.9005559,1780242,1780242,"Western Springs village, Illinois",4726,2.7844453,45247.78137,77625881.32,1697
58,17,82075,2399704,1782075,Wilmette,Wilmette village,47,C1,N,N,G4110,A,13993097,23599,42.0773232,-87.7286214,1782075,1782075,"Wilmette village, Illinois",10525,5.4119215,77800.42245,150875710.8,1945
59,17,82530,2399718,1782530,Winnetka,Winnetka village,47,C1,N,N,G4110,A,9871431,207366,42.1062103,-87.7427639,1782530,1782530,"Winnetka village, Illinois",4459,3.8914635,61453.64675,108487774.9,1146
60,17,83518,2399742,1783518,Worth,Worth village,47,C1,N,N,G4110,A,6134934,33039,41.6882112,-87.7925772,1783518,1783518,"Worth village, Illinois",4611,2.3814592,40491.5764,66391270.37,1936
61,17,81087,2400161,1781087,Wheeling,Wheeling village,47,C1,N,N,G4110,A,22460743,150683,42.1296141,-87.9215028,1781087,1781087,"Wheeling village, Illinois",16190,8.730094,111379.7179,243381059.2,1855
62,17,47540,2399275,1747540,Matteson,Matteson village,47,C1,N,N,G4110,A,24048150,88795,41.5088709,-87.7460436,1747540,1747540,"Matteson village, Illinois",7457,9.3193712,162536.4264,259809148.8,800
63,17,56640,2399586,1756640,Orland Park,Orland Park village,47,C1,N,N,G4110,A,57052920,739368,41.6081453,-87.8592903,1756640,1756640,"Orland Park village, Illinois",23746,22.3133717,413199.3954,622061117.1,1064
64,17,57732,2399622,1757732,Park Forest,Park Forest village,47,C1,N,N,G4110,A,12849742,0,41.4817472,-87.6868008,1757732,1757732,"Park Forest village, Illinois",9701,4.9613976,106157.9567,138315832.6,1955
65,17,37257,2398571,1737257,Indian Head Park,Indian Head Park village,47,C1,N,N,G4110,A,2409354,20705,41.7684326,-87.8974051,1737257,1737257,"Indian Head Park village, Illinois",1940,0.9382274,36429.83079,26156279.39,2068
66,17,21904,2398777,1721904,East Hazel Crest,East Hazel Crest village,47,C1,N,N,G4110,A,2031301,0,41.5757986,-87.6502727,1721904,1721904,"East Hazel Crest village, Illinois",630,0.7843106,25397.58758,21865325.52,803
67,17,37608,2398578,1737608,Inverness,Inverness village,47,C1,N,N,G4110,A,16923974,402555,42.1151357,-88.1008936,1737608,1737608,"Inverness village, Illinois",2883,6.6895103,101199.2298,186492848.4,431
