OID_,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,join,GEO_ID,NAME_1,H1_001N,sqmile,Shape_Length,Shape_Area,housing_density
68,17,38830,2398319,1738830,Justice,Justice village,47,C1,N,N,G4110,A,7354853,116067,41.7534009,-87.8269406,1738830,1738830,"Justice village, Illinois",5160,2.8845038,51637.88533,80415353.46,1789
69,17,39519,2398337,1739519,Kenilworth,Kenilworth village,47,C1,N,N,G4110,A,1573272,0,42.0888177,-87.7144974,1739519,1739519,"Kenilworth village, Illinois",852,0.6074514,20521.69848,16934774.06,1403
70,17,40767,2398365,1740767,La Grange,La Grange village,47,C1,N,N,G4110,A,6539261,0,41.8072134,-87.8741481,1740767,1740767,"La Grange village, Illinois",6415,2.5247755,47535.35977,70386699.71,2541
71,17,40793,2398366,1740793,La Grange Park,La Grange Park village,47,C1,N,N,G4110,A,5782154,0,41.830778,-87.8722737,1740793,1740793,"La Grange Park village, Illinois",5398,2.2324629,42963.95165,62237495.78,2418
72,17,43744,2398443,1743744,Lincolnwood,Lincolnwood village,47,C1,N,N,G4110,A,6971337,0,42.0054299,-87.7329594,1743744,1743744,"Lincolnwood village, Illinois",4655,2.6916661,40812.00122,75039342.34,1729
73,17,67769,2399188,1767769,Sauk Village,Sauk Village village,47,C1,N,N,G4110,A,10339115,10136,41.4900935,-87.5706244,1767769,1767769,"Sauk Village village, Illinois",3740,3.9960506,126232.1434,111403498.2,936
74,17,72520,2399892,1772520,Steger,Steger village,47,C1,N,N,G4110,A,8816277,0,41.4723125,-87.6176971,1772520,1772520,"Steger village, Illinois",4293,3.4040966,73668.05003,94900766.73,1261
75,17,1010,2397946,1701010,Alsip,Alsip village,47,C1,N,N,G4110,A,16900200,259691,41.6702696,-87.7370851,1701010,1701010,"Alsip village, Illinois",8016,6.6255188,90801.53357,184708865.2,1210
76,17,4572,2398064,1704572,Bedford Park,Bedford Park village,47,C1,N,N,G4110,A,15369421,273533,41.7677733,-87.7725558,1704572,1704572,"Bedford Park village, Illinois",213,6.0397539,96082.48798,168378673.6,35
77,17,4975,2398084,1704975,Bellwood,Bellwood village,47,C1,N,N,G4110,A,6211147,0,41.882901,-87.8761699,1704975,1704975,"Bellwood village, Illinois",6757,2.3980932,39097.22106,66855001.5,2818
78,17,57407,2399616,1757407,Palos Park,Palos Park village,47,C1,N,N,G4110,A,16693431,313197,41.6661629,-87.8296016,1757407,1757407,"Palos Park village, Illinois",2023,6.5661669,228119.6143,183054222.1,308
79,17,57875,2396148,1757875,Park Ridge,Park Ridge city,25,C1,N,N,G4110,A,18356570,121232,42.0117617,-87.8434336,1757875,1757875,"Park Ridge city, Illinois",15366,7.1342239,80180.59525,198890750,2154
80,17,59572,2399667,1759572,Phoenix,Phoenix village,47,C1,N,N,G4110,A,1200803,0,41.6117814,-87.630852,1759572,1759572,"Phoenix village, Illinois",825,0.4636481,17308.68988,12925766.51,1779
81,17,61314,2399009,1761314,Posen,Posen village,47,C1,N,N,G4110,A,3027767,0,41.6290669,-87.6858424,1761314,1761314,"Posen village, Illinois",1920,1.1690472,28363.03894,32591164.85,1642
82,17,63706,2399068,1763706,Richton Park,Richton Park village,47,C1,N,N,G4110,A,11374920,31490,41.4801833,-87.742531,1763706,1763706,"Richton Park village, Illinois",5487,4.404068,122668.9055,122778366,1246
83,17,64278,2399086,1764278,Riverdale,Riverdale village,47,C1,N,N,G4110,A,9259988,452975,41.6426953,-87.6356402,1764278,1764278,"Riverdale village, Illinois",5087,3.7503054,53151.67549,104552515.3,1356
84,17,5404,2398101,1705404,Berkeley,Berkeley village,47,C1,N,N,G4110,A,3629888,0,41.8891162,-87.9114712,1705404,1705404,"Berkeley village, Illinois",1933,1.4014724,33942.70704,39070808.75,1379
85,17,5573,2394154,1705573,Berwyn,Berwyn city,25,C1,N,N,G4110,A,10112500,0,41.8433327,-87.7909258,1705573,1705573,"Berwyn city, Illinois",21037,3.9044352,45591.51715,108849405.8,5388
86,17,6704,2394203,1706704,Blue Island,Blue Island city,25,C1,N,N,G4110,A,10544392,223343,41.6575701,-87.6811256,1706704,1706704,"Blue Island city, Illinois",9137,4.1575217,75509.64847,115905057.6,2198
87,17,8225,2397453,1708225,Bridgeview,Bridgeview village,47,C1,N,N,G4110,A,10703235,0,41.7402806,-87.8066441,1708225,1708225,"Bridgeview village, Illinois",6156,4.1325135,82820.52499,115207865.9,1490
88,17,8446,2397460,1708446,Broadview,Broadview village,47,C1,N,N,G4110,A,4601714,0,41.8583672,-87.8561917,1708446,1708446,"Broadview village, Illinois",3353,1.7767068,34952.35705,49531741.73,1887
89,17,8576,2397465,1708576,Brookfield,Brookfield village,47,C1,N,N,G4110,A,7934878,17368,41.8250594,-87.8475457,1708576,1708576,"Brookfield village, Illinois",7785,3.0703366,42861.1325,85596074.44,2536
90,17,45421,2399210,1745421,Lynwood,Lynwood village,47,C1,N,N,G4110,A,12855534,198502,41.5225652,-87.5504913,1745421,1745421,"Lynwood village, Illinois",3624,5.0404496,130229.0135,140519669.8,719
91,17,45434,2399212,1745434,Lyons,Lyons village,47,C1,N,N,G4110,A,5717258,174409,41.8121844,-87.8185893,1745434,1745434,"Lyons village, Illinois",4415,2.2747645,46062.34536,63416793.7,1941
92,17,45564,2399289,1745564,McCook,McCook village,47,C1,N,N,G4110,A,6770441,54864,41.7982646,-87.8415915,1745564,1745564,"McCook village, Illinois",113,2.6352313,46432.77705,73466032.74,43
93,17,47007,2395013,1747007,Markham,Markham city,25,C1,N,N,G4110,A,13998596,0,41.600036,-87.6904549,1747007,1747007,"Markham city, Illinois",4283,5.4049797,76483.68629,150682187.4,792
94,17,47774,2399280,1747774,Maywood,Maywood village,47,C1,N,N,G4110,A,7038039,0,41.8797767,-87.8441837,1747774,1747774,"Maywood village, Illinois",8444,2.7173643,50556.61388,75755767.41,3107
95,17,9447,2397490,1709447,Buffalo Grove,Buffalo Grove village,47,C1,N,N,G4110,A,24768470,43278,42.1659808,-87.9618258,1709447,1709447,"Buffalo Grove village, Illinois",17032,9.5795736,256210.1499,267063172.5,1778
96,17,64304,2399084,1764304,River Forest,River Forest village,47,C1,N,N,G4110,A,6422504,4794,41.894875,-87.8190635,1764304,1764304,"River Forest village, Illinois",4266,2.4815707,35632.64698,69182223.23,1719
97,17,64343,2399085,1764343,River Grove,River Grove village,47,C1,N,N,G4110,A,6192765,0,41.9242769,-87.8379336,1764343,1764343,"River Grove village, Illinois",4482,2.3910072,34813.37865,66657451.91,1875
98,17,64421,2399090,1764421,Riverside,Riverside village,47,C1,N,N,G4110,A,5123776,45387,41.8309556,-87.8158544,1764421,1764421,"Riverside village, Illinois",3720,1.995808,36454.05432,55639934.93,1864
99,17,64616,2399096,1764616,Robbins,Robbins village,47,C1,N,N,G4110,A,3752688,0,41.6431246,-87.7081031,1764616,1764616,"Robbins village, Illinois",1887,1.4489421,45946.70583,40394187.2,1302
100,17,65819,2399123,1765819,Rosemont,Rosemont village,47,C1,N,N,G4110,A,4642536,0,41.9889776,-87.8717394,1765819,1765819,"Rosemont village, Illinois",1810,1.7924591,47490.82319,49970892.49,1010
101,17,68081,2399770,1768081,Schiller Park,Schiller Park village,47,C1,N,N,G4110,A,7173315,0,41.9586263,-87.8693167,1768081,1768081,"Schiller Park village, Illinois",4709,2.7695832,48614.07958,77211548.07,1700
102,17,70122,2399827,1770122,Skokie,Skokie village,47,C1,Y,N,G4110,A,26065816,0,42.0359704,-87.7399938,1770122,1770122,"Skokie village, Illinois",25256,10.064126,97100.37581,280571727.3,2510
103,17,23074,2394641,1723074,Elgin,Elgin city,25,C1,Y,N,G4110,A,98488542,1485141,42.0389632,-88.3256714,1723074,1723074,"Elgin city, Illinois",40530,38.5979919,775353.7665,1076050240,1050
104,17,3844,2398037,1703844,Barrington,Barrington village,47,C1,N,N,G4110,A,11934352,481136,42.1515345,-88.1285344,1703844,1703844,"Barrington village, Illinois",4394,4.7934208,116196.7955,133632896.2,917
105,17,14000,428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463,17621529,41.8370453,-87.6849386,1714000,1714000,"Chicago city, Illinois",1262612,234.5382538,782261.7605,6538551324,5383
106,17,23620,2394673,1723620,Elmhurst,Elmhurst city,25,C1,N,N,G4110,A,26465542,154716,41.8970138,-87.9436567,1723620,1723620,"Elmhurst city, Illinois",17260,10.2778482,111563.4169,286529966.6,1679
107,17,51089,2399416,1751089,Mount Prospect,Mount Prospect village,47,C1,N,N,G4110,A,27762204,99694,42.0642021,-87.9373643,1751089,1751089,"Mount Prospect village, Illinois",22835,10.7572441,123947.6901,299894760.4,2123
108,17,54820,2399538,1754820,Oak Lawn,Oak Lawn village,47,C1,N,N,G4110,A,22198232,0,41.7138855,-87.7527768,1754820,1754820,"Oak Lawn village, Illinois",23362,8.5708084,93464.14606,238940432.4,2726
109,17,54534,2399533,1754534,Oak Brook,Oak Brook village,47,C1,N,N,G4110,A,20614013,834074,41.8363949,-87.9531732,1754534,1754534,"Oak Brook village, Illinois",3308,8.2809086,105417.311,230858492.5,399
110,17,9642,2393465,1709642,Burbank,Burbank city,25,C1,N,N,G4110,A,10799706,0,41.7444204,-87.7685047,1709642,1709642,"Burbank city, Illinois",9784,4.1697927,58485.79699,116247154,2346
111,17,9798,2397502,1709798,Burnham,Burnham village,47,C1,N,N,G4110,A,4804119,220107,41.6394802,-87.5449604,1709798,1709798,"Burnham village, Illinois",1589,1.9399645,33559.29515,54083106.69,819
112,17,10487,2393502,1710487,Calumet City,Calumet City city,25,C1,N,N,G4110,A,18599454,322264,41.5964934,-87.5385723,1710487,1710487,"Calumet City city, Illinois",16196,7.3060856,116942.8868,203681978.8,2217
113,17,14065,2397620,1714065,Chicago Ridge,Chicago Ridge village,47,C1,N,N,G4110,A,5873964,0,41.7034146,-87.7794673,1714065,1714065,"Chicago Ridge village, Illinois",5989,2.267946,51997.27441,63226702.93,2641
114,17,14351,2396647,1714351,Cicero,Cicero town,43,C1,N,N,G4110,A,15190398,0,41.8445373,-87.7592899,1714351,1714351,"Cicero town, Illinois",25836,5.8650656,58600.35887,163508641,4405
115,17,48242,2399308,1748242,Melrose Park,Melrose Park village,47,C1,N,N,G4110,A,11274888,0,41.9029947,-87.8636478,1748242,1748242,"Melrose Park village, Illinois",8756,4.3531814,76671.53098,121359729.5,2011
116,17,48892,2399337,1748892,Midlothian,Midlothian village,47,C1,N,N,G4110,A,7301803,0,41.6254282,-87.7242328,1748892,1748892,"Midlothian village, Illinois",5522,2.8192704,59328.64918,78596749.58,1959
117,17,50647,2399403,1750647,Morton Grove,Morton Grove village,47,C1,N,N,G4110,A,13178266,0,42.042321,-87.7890121,1750647,1750647,"Morton Grove village, Illinois",9278,5.0881386,63451.0269,141849166.9,1823
118,17,53377,2399504,1753377,Norridge,Norridge village,47,C1,N,N,G4110,A,4681969,0,41.9637256,-87.8231921,1753377,1753377,"Norridge village, Illinois",5956,1.8076962,50770.20278,50395678.13,3295
119,17,53663,2399527,1753663,Northfield,Northfield village,47,C1,N,N,G4110,A,8365828,276,42.1029681,-87.777376,1753663,1753663,"Northfield village, Illinois",2420,3.2301648,61169.09217,90051822.17,749
120,17,70564,2399841,1770564,South Barrington,South Barrington village,47,C1,N,N,G4110,A,19236964,732982,42.0889919,-88.1571843,1770564,1770564,"South Barrington village, Illinois",1722,7.710063,109762.7539,214944214.4,223
121,17,70629,2399845,1770629,South Chicago Heights,South Chicago Heights village,47,C1,N,N,G4110,A,4093973,42091,41.4834057,-87.6372011,1770629,1770629,"South Chicago Heights village, Illinois",1644,1.5969889,43514.42837,44521494.58,1029
122,17,70850,2399849,1770850,South Holland,South Holland village,47,C1,N,N,G4110,A,18740904,40377,41.5983715,-87.6027365,1770850,1770850,"South Holland village, Illinois",7863,7.2517629,112988.6244,202167549.8,1084
123,17,73638,2399930,1773638,Summit,Summit village,47,C1,N,N,G4110,A,5487597,357949,41.7884523,-87.8139211,1773638,1773638,"Summit village, Illinois",3789,2.2569606,40377.02749,62920449.45,1679
124,17,75185,2399975,1775185,Thornton,Thornton village,47,C1,N,N,G4110,A,6150155,67750,41.5741485,-87.6193001,1775185,1775185,"Thornton village, Illinois",1061,2.4008262,46941.34478,66931194.82,442
125,17,80047,2400148,1780047,Westchester,Westchester village,47,C1,N,N,G4110,A,9546167,0,41.849196,-87.8906194,1780047,1780047,"Westchester village, Illinois",7230,3.6857233,74459.69344,102752068.7,1962
126,17,65806,2399122,1765806,Roselle,Roselle village,47,C1,N,N,G4110,A,14341765,199846,41.9802491,-88.0859098,1765806,1765806,"Roselle village, Illinois",9102,5.6143041,179734.4537,156517812,1621
127,17,9980,2397506,1709980,Burr Ridge,Burr Ridge village,47,C1,N,N,G4110,A,18500900,348868,41.7478977,-87.920105,1709980,1709980,"Burr Ridge village, Illinois",4562,7.2777572,136614.6959,202892224.7,627
128,17,53871,2395266,1753871,Northlake,Northlake city,25,C1,N,N,G4110,A,8225523,0,41.9143158,-87.9054863,1753871,1753871,"Northlake city, Illinois",4356,3.1758151,58189.02212,88536644.89,1372
129,17,54885,2399539,1754885,Oak Park,Oak Park village,47,C1,N,N,G4110,A,12172451,0,41.8871644,-87.7899404,1754885,1754885,"Oak Park village, Illinois",25953,4.6997867,48376.4027,131022533,5522
130,17,55938,2399572,1755938,Olympia Fields,Olympia Fields village,47,C1,N,N,G4110,A,7610914,9275,41.5219964,-87.6916481,1755938,1755938,"Olympia Fields village, Illinois",1929,2.9422193,62221.48031,82024366.5,656
131,17,57381,2396133,1757381,Palos Heights,Palos Heights city,25,C1,N,N,G4110,A,9773467,252938,41.6634391,-87.7960438,1757381,1757381,"Palos Heights city, Illinois",5114,3.8711977,78237.60658,107922798.9,1321
132,17,57394,2396134,1757394,Palos Hills,Palos Hills city,25,C1,N,N,G4110,A,10997852,113870,41.7006815,-87.8252968,1757394,1757394,"Palos Hills city, Illinois",7697,4.2902126,67032.51186,119604260,1794
133,17,16691,2393651,1716691,Country Club Hills,Country Club Hills city,25,C1,N,N,G4110,A,12872726,43099,41.5634529,-87.7254094,1716691,1716691,"Country Club Hills city, Illinois",6164,4.986876,81792.33431,139026124.5,1236
134,17,16873,2393653,1716873,Countryside,Countryside city,25,C1,N,N,G4110,A,7453674,0,41.7742038,-87.875224,1716873,1716873,"Countryside city, Illinois",2812,2.8778262,64680.03705,80229191.28,977
135,17,17497,2398649,1717497,Crestwood,Crestwood village,47,C1,N,N,G4110,A,7897325,72892,41.6455985,-87.7400776,1717497,1717497,"Crestwood village, Illinois",5202,3.0773389,84679.18625,85791286.59,1690
136,17,20149,2398731,1720149,Dixmoor,Dixmoor village,47,C1,N,N,G4110,A,3233699,0,41.6329505,-87.6672326,1720149,1720149,"Dixmoor village, Illinois",1321,1.248567,26243.68932,34808049.4,1058
137,17,20292,2398734,1720292,Dolton,Dolton village,47,C1,N,N,G4110,A,11837952,304312,41.6302755,-87.596834,1720292,1720292,"Dolton village, Illinois",8768,4.688333,74580.02054,130703224.5,1870
